Statenam;adopt_year;tempo;cens;dem;rep;pol_compet;citiz_ideol;gov_ideol;leg_profes;pop
Virginia;1999; 0;1;0;1;13,4711100;44,85283;39,49740;0,131; 7105817
Indiana;2001; 2;1;1;0;15,1456700;46,12667;49,95536;0,102; 6127760
Kansas;2001; 2;1;0;1;52,8152900;31,22618;27,02213;0,125; 2702162
Iowa;2005; 6;1;1;0; 8,4084090;50,25867;55,17814;0,170; 2964454
South Carolina;2007; 8;1;0;1;10,3389400;47,07921;25,10665;0,161; 4444110
Texas;2007; 8;1;0;1;13,4270800;49,10950;25,07183;0,210;23831983
Arizona;2008; 9;1;1;0;27,6914700;48,54311;46,10860;0,271; 6280362
Florida;2008; 9;1;0;1; 7,2700350;58,41700;28,78151;0,210;18527305
Illinois;2008; 9;1;1;0;11,8290600;67,27898;67,87701;0,281;12747038
Louisiana;2008; 9;1;0;1;51,0719500;43,24025;43,87013;0,163; 4435586
Massachusetts;2008; 9;1;1;0;22,3164600;90,53825;73,12723;0,280; 6468967
Pennsylvania;2008; 9;1;1;0;20,7293900;71,82540;54,88838;0,479;12612285
Colorado;2009;10;1;1;0;17,3192300;52,44956;63,22009;0,199; 4972195
Connecticut;2009;10;1;0;1;28,1365200;81,45354;54,49797;0,196; 3561807
Montana;2009;10;1;1;0;33,6316200;53,81427;51,78106;0,079;  983982
Nevada;2009;10;1;0;1; 4,3612440;53,63892;43,80929;0,159; 2684665
New Jersey;2009;10;1;0;1; 3,8332140;67,93461;67,68888;0,221; 8755602
New Mexico;2009;10;1;1;0;37,6347000;60,14712;65,17102;0,110; 2036802
Wisconsin;2009;10;1;1;0; 7,5376360;53,53251;63,22141;0,242; 5669264
Kentucky;2010;11;1;1;0;17,4144400;37,49059;58,45203;0,137; 4346266
Maine;2010;11;1;0;1;33,1889800;68,91593;66,87914;0,088; 1327567
Missouri;2010;11;1;1;0;19,3202700;42,51294;49,46999;0,194; 5996231
New Hampshire;2010;11;1;1;0; 7,7876590;51,86018;61,79291;0,031; 1316759
Vermont;2010;11;1;1;0; 1,8449020;86,63786;58,75833;0,110;  625960
Arkansas;2011;12;1;1;0;31,3987400;29,15976;57,71147;0,110; 2921606
California;2011;12;1;1;0;13,6126000;54,71355;71,49247;0,581;37349363
New York;2011;12;1;1;0;30,5732300;64,85184;64,78417;0,606;19392283
Rhode Island;2011;12;1;0;1;18,5829200;84,50076;63,97797;0,134; 1052886
West Virginia;2011;12;1;1;0;46,1339000;58,21689;61,36821;0,121; 1853973
Alabama;2012;13;1;0;1;15,7963200;37,59914;28,40795;0,175; 4785298
Michigan;2012;13;1;0;1;18,5795500;53,27965;27,97783;0,401; 9877574
Delaware;2017;18;0;1;0;41,6125800;NA;60,11323;0,203;  899769
Georgia;2017;18;0;0;1;10,4665400;NA;19,11856;0,149; 9712587
Idaho;2017;18;0;0;1;28,5472300;NA;22,53521;0,169; 1571450
Maryland;2017;18;0;1;0;14,7501800;NA;44,25162;0,278; 5785982
Minnesota;2017;18;0;1;0; 0,4793167;NA;51,93390;0,204; 5310584
Mississippi;2017;18;0;0;1;21,9631800;NA;28,86485;0,161; 2970036
Nebraska;2017;18;0;0;1;47,8089600;NA;24,28571;0,230; 1830429
North Carolina;2017;18;0;0;1;11,6444100;NA;45,70129;0,238; 9561558
North Dakota;2017;18;0;0;1;29,5494100;NA;31,38833;0,112;  674499
Ohio;2017;18;0;0;1; 2,0838090;NA;26,55549;0,384;11536182
Oklahoma;2017;18;0;0;1;20,8979400;NA;24,72693;0,229; 3761702
Oregon;2017;18;0;1;0; 1,5762560;NA;66,78907;0,214; 3838957
South Dakota;2017;18;0;0;1;23,0252000;NA;29,67807;0,103;  816463
Tennessee;2017;18;0;0;1;32,5630200;NA;23,99955;0,136; 6356897
Utah;2017;18;0;0;1;42,5340600;NA;20,11354;0,115; 2776469
Washington;2017;18;0;1;0; 3,0789790;NA;61,82232;0,272; 6744496
Wyoming;2017;18;0;0;1;48,2217700;NA;23,12206;0,081;  564460
